hs1	11371785	13388077	2
hs1	36598467	36613024	14
hs1	48356657	48695878	10
hs1	52024119	57999533	2
hs1	69294411	72292041	2
hs1	72292041	72439578	12
hs1	72439578	72563333	10
hs1	74448239	84435815	2
hs1	102461638	105571334	3
hs1	107830596	109347192	2
hs1	168629424	168636621	2
hs1	171238563	173600992	2
hs1	191339080	191374885	8
hs1	234626324	236265874	12
hs1	245853444	245891563	22
hs10	8236013	8845288	2
hs10	8845288	13857439	4
hs10	13857439	16788079	2
hs10	42892382	49019062	2
hs10	62119660	66320298	2
hs10	71911615	72150986	5
hs10	74045425	74132677	7
hs10	77845636	81075041	2
hs10	82191174	82210505	6
hs10	82705008	82900918	20
hs10	90438397	96074895	2
hs10	98005140	98037740	6
hs10	105389790	105517849	2
hs10	110645020	110654216	2
hs10	114624956	116633228	4
hs10	133346930	133627695	7
hs11	9771053	9810919	2
hs11	11194443	11200156	5
hs11	14298041	14300507	5
hs11	27362178	36536921	2
hs11	36536921	36557636	6
hs11	36557636	37238538	2
hs11	56697712	56708338	4
hs11	74868804	74897249	2
hs11	82919727	83019199	2
hs11	83019199	83408267	4
hs11	83408267	83867504	2
hs11	99383912	99404517	6
hs11	109778210	109785204	7
hs11	121767770	121872042	2
hs11	121872042	124708958	4
hs11	124708958	131291335	2
hs12	11028447	11088810	3
hs12	11350315	11398212	3
hs12	24539337	25170130	40
hs12	30024594	30040446	11
hs12	43627476	44544150	2
hs12	44544150	47985127	4
hs12	47985127	49465835	2
hs12	49856213	49858828	2
hs12	51763158	51763502	3
hs12	79760921	79769039	29
hs12	82734165	89965732	2
hs12	89965732	92053170	4
hs12	92053170	94016697	2
hs12	129869778	129876473	2
hs13	27727457	27736157	3
hs13	40871768	40872748	2
hs13	58258868	61909503	2
hs13	66720467	67403076	14
hs13	79409509	79416407	2
hs13	86822661	86987324	12
hs13	107862169	108186976	11
hs14	20065428	20117726	16
hs14	43608765	43970015	18
hs14	47755770	56251718	2
hs14	63978019	64645117	2
hs14	66919031	66920029	15
hs14	66920029	66929821	50
hs14	66929821	66950813	35
hs15	23125282	23321770	5
hs15	33255913	39131042	2
hs15	47301343	48202765	4
hs15	52610439	52613912	2
hs15	55311214	55365032	7
hs15	61511975	68872558	2
hs15	97874098	98202528	2
hs16	4128783	4140030	2
hs16	8262647	8557289	4
hs16	12988715	14055594	9
hs16	14055594	14609702	11
hs16	14609702	15338053	2
hs16	32082558	32101661	6
hs16	32101661	33082547	8
hs16	33082547	33083685	6
hs16	78881787	78996413	2
hs16	83395531	83404428	2
hs16	86629531	86665661	18
hs17	26749676	26947634	4
hs17	36109416	36182408	17
hs17	36182408	36187341	22
hs17	36187341	36195938	5
hs17	37530402	38168453	2
hs17	38168453	38231894	11
hs17	38231894	39332233	2
hs17	45512138	45520121	16
hs17	46433389	50842952	2
hs17	54621825	54638384	2
hs17	54638384	55070993	4
hs17	55070993	55488886	2
hs17	58077920	60592512	2
hs17	65457511	68506279	2
hs17	69875935	69884635	2
hs17	69969891	76294669	2
hs18	794545	1772860	2
hs18	1772860	2502333	4
hs18	2502333	2548495	7
hs18	2548495	5932082	4
hs18	5932082	5934528	6
hs18	5934528	7826498	4
hs18	7826498	10419027	2
hs19	5038816	8015317	6
hs19	43323510	43329386	2
hs2	35613572	43277638	2
hs2	44139576	45479449	2
hs2	57208660	57214772	5
hs2	57236407	65053760	2
hs2	66836949	68967494	3
hs2	68967494	69482803	5
hs2	69482803	72442880	2
hs2	76928048	77108009	7
hs2	88412299	89040624	2
hs2	103461161	103462892	2
hs2	121290797	121293605	2
hs2	134715327	135631060	2
hs2	138087945	141991089	2
hs2	141991089	141999488	16
hs2	141999488	143578334	2
hs2	148027884	148106260	3
hs2	148479189	148530761	22
hs2	208552000	209806902	2
hs2	210932296	211021063	6
hs2	215243454	215256946	3
hs2	232713558	237288321	2
hs20	1877389	6396690	2
hs20	6396690	6657699	6
hs20	6657699	11985576	4
hs20	13912992	14009996	3
hs20	19000381	19047906	4
hs20	29764703	29767699	8
hs20	29877360	30882881	8
hs20	43464134	43472993	6
hs20	63653831	63709082	5
hs21	8988143	9019000	13
hs21	26857366	32284182	18
hs22	10686523	16897943	9
hs22	18890485	18896990	17
hs22	20465671	20509764	2
hs22	25923928	25924539	35
hs22	34814777	39861185	2
hs3	3903805	5494676	8
hs3	17392005	17447803	16
hs3	39835571	39955984	2
hs3	48636539	48698149	14
hs3	67905262	67909269	2
hs3	82035360	82874424	2
hs3	83960949	83964211	10
hs3	102775543	110110174	2
hs3	112694915	115686115	2
hs3	115686115	115691678	4
hs3	115691678	119729382	2
hs3	126011697	126058001	3
hs3	145634235	151551057	2
hs3	169019912	169029221	2
hs3	174067967	174992643	2
hs3	179959393	183334328	2
hs3	192080134	193972184	2
hs4	34386322	34401840	7
hs4	34401840	34403666	42
hs4	34403666	34418932	35
hs4	34627681	34628300	35
hs4	34681878	34687040	17
hs4	36121587	37052258	2
hs4	42466436	42745026	2
hs4	42745026	46322470	4
hs4	46322470	47936080	2
hs4	60896454	61217011	31
hs4	76637883	78875952	2
hs4	89369754	89466154	4
hs4	132209979	132357087	8
hs4	147835942	150028526	2
hs4	150279424	150340784	21
hs4	152460612	156700314	2
hs4	177347692	177358892	6
hs5	2955216	3038300	3
hs5	6095680	6299770	11
hs5	17712708	17715744	11
hs5	65107866	65110520	2
hs5	69385645	73135283	2
hs5	85147049	85231634	2
hs5	108231815	110670667	2
hs5	110670667	110787896	4
hs5	110787896	110789623	6
hs5	110789623	111217227	4
hs5	111217227	113658184	2
hs5	122936260	122945854	2
hs5	144132923	144135488	4
hs5	164892914	164908788	19
hs5	167896490	168022990	7
hs5	176062798	178008056	9
hs5	179394831	179402504	9
hs6	19467564	22797787	2
hs6	32474493	32474781	2
hs6	32482947	32482950	8
hs6	32482950	32483781	10
hs6	32483781	32484886	8
hs6	32484886	32485549	6
hs6	32485549	32485877	8
hs6	32485877	32487342	6
hs6	32487342	32487363	8
hs6	32487363	32493143	10
hs6	32493143	32501013	8
hs6	32501013	32510598	10
hs6	32510598	32513736	16
hs6	32513736	32523216	19
hs6	32523216	32523802	21
hs6	32523802	32529437	24
hs6	32529437	32530979	26
hs6	32530979	32547136	24
hs6	32547136	32548485	18
hs6	32548485	32559205	24
hs6	32559205	32571260	22
hs6	32571260	32573821	19
hs6	32573821	32575773	13
hs6	32575773	32578771	10
hs6	32578771	32591658	8
hs6	35786783	35799011	18
hs6	43276942	44722904	2
hs6	52732689	52741778	2
hs6	55984177	63302052	2
hs6	76983402	77076557	3
hs6	97505445	98237515	2
hs6	98237515	98237863	4
hs6	98237863	101417257	2
hs6	101417257	101419501	11
hs6	101419501	102735663	2
