hs1	11479155	11537551	DISP3
hs1	11637018	11655785	FBXO2
hs1	11654375	11663327	FBXO44
hs1	11664200	11674354	FBXO6
hs1	11674480	11691650	MAD2L2
hs1	11691710	11725857	DRAXIN
hs1	11736084	11754802	AGTRAP
hs1	11761787	11789585	C1orf167
hs1	11785723	11806455	MTHFR
hs1	11806096	11848079	CLCN6
hs1	11845709	11848345	NPPA
hs1	11857464	11858945	NPPB
hs1	11919591	11926428	KIAA2013
hs1	11934205	11975538	PLOD1
hs1	11980181	12013514	MFN2
hs1	12019466	12032045	MIIP
hs1	12063303	12144207	TNFRSF8
hs1	12166991	12209228	TNFRSF1B
hs1	12230030	12512047	VPS13D
hs1	12567910	12618210	DHRS3
hs1	12644547	12667086	AADACL4
hs1	12716110	12728760	AADACL3
hs1	12746200	12763699	C1orf158
hs1	12774841	12777906	PRAMEF12
hs1	12791397	12796628	PRAMEF1
hs1	12824605	12831410	PRAMEF11
hs1	12847377	12848720	HNRNPCL1
hs1	12857086	12861909	PRAMEF2
hs1	12879212	12886201	PRAMEF4
hs1	12892896	12898270	PRAMEF10
hs1	12916610	12920482	PRAMEF7
hs1	12938472	12947580	PRAMEF6
hs1	13049476	13056491	PRAMEF27
hs1	13060869	13062229	HNRNPCL3
hs1	13068677	13077884	PRAMEF25
hs1	13115488	13116854	HNRNPCL2
hs1	13148905	13155961	PRAMEF26
hs1	13163914	13165631	HNRNPCL4
hs1	13172455	13179464	PRAMEF9
hs1	13196188	13201409	PRAMEF13
hs1	13222705	13226106	PRAMEF18
hs1	13254212	13263314	PRAMEF5
hs1	13281035	13285174	PRAMEF8
hs1	13303539	13308907	PRAMEF33
hs1	13315581	13322598	PRAMEF15
hs1	13341892	13347134	PRAMEF14
hs1	13369067	13371900	PRAMEF19
hs1	48295373	48472208	SPATA6
hs1	48532854	50023954	AGBL4
hs1	52020131	52055191	TXNDC12
hs1	52020153	52033350	AL445685.3
hs1	52032103	52033810	KTI12
hs1	52056199	52090716	BTF3L4
hs1	52142094	52346686	ZFYVE9
hs1	52345723	52366193	CC2D1B
hs1	52372829	52404423	ORC1
hs1	52404602	52420836	PRPF38A
hs1	52408282	52553487	TUT4
hs1	52602371	52609051	GPX7
hs1	52633168	52669683	SHISAL2A
hs1	52684449	52698347	COA7
hs1	52726453	52827336	ZYG11B
hs1	52842511	52894998	ZYG11A
hs1	52895910	52927212	ECHDC2
hs1	52927276	53051698	SCP2
hs1	53062052	53085501	PODN
hs1	53087179	53142638	SLC1A7
hs1	53196792	53214197	CPT2
hs1	53214099	53220634	CZIB
hs1	53226900	53238518	MAGOH
hs1	53242364	53328469	LRP8
hs1	53459399	53467488	DMRTB1
hs1	53506237	53738106	GLIS1
hs1	53765478	53838463	NDC1
hs1	53851719	53889798	YIPF1
hs1	53891239	53911086	DIO1
hs1	53916574	53945929	HSPB11
hs1	53946085	53968168	LRRC42
hs1	54007298	54018186	LDLRAD1
hs1	54026681	54053504	TMEM59
hs1	54053584	54112519	TCEANC2
hs1	54132686	54200073	AL357673.1
hs1	54132968	54153770	CDCP2
hs1	54169651	54200036	CYB5RL
hs1	54184041	54225464	MRPL37
hs1	54225432	54413479	SSBP3
hs1	54542257	54639192	ACOT11
hs1	54609181	54623556	FAM151A
hs1	54641754	54710266	MROH7
hs1	54641786	54742308	MROH7-TTC4
hs1	54715861	54742657	TTC4
hs1	54756898	54764523	PARS2
hs1	54779712	54801323	TTC22
hs1	54806063	54842252	LEXM
hs1	54849627	54887195	DHCR24
hs1	54980628	54992288	TMEM61
hs1	54998933	55017172	BSND
hs1	55039447	55064852	PCSK9
hs1	55066359	55215364	USP24
hs1	56173433	56524495	AC119674.2
hs1	56494761	56645301	PLPP3
hs1	56645314	56715335	PRKAA2
hs1	56718789	56819696	FYB2
hs1	56854797	56918223	C8A
hs1	56929207	56966140	C8B
hs1	56994778	58546734	DAB1
hs1	69567922	70151945	LRRC7
hs1	70144805	70205579	LRRC40
hs1	70205682	70253052	SRSF11
hs1	70258999	70354734	ANKRD13C
hs1	70354805	70385339	HHLA3
hs1	70411218	70439851	CTH
hs1	70852353	71047808	PTGER3
hs1	71063291	71081289	ZRANB2
hs1	71395943	72282539	NEGR1
hs1	74198235	74544393	FPGT-TNNI3K
hs1	74235387	74544428	TNNI3K
hs1	74469878	74512614	LRRC53
hs1	74568117	74673792	ERICH3
hs1	74705482	74733408	CRYZ
hs1	74733152	74766678	TYW3
hs1	75128434	75161533	LHX8
hs1	75202131	75611116	SLC44A5
hs1	75724347	75787575	ACADM
hs1	75786197	75795086	RABGGTB
hs1	75796882	75913242	MSH4
hs1	75918873	75932404	ASB17
hs1	76074746	76634603	ST6GALNAC3
hs1	76867480	77067546	ST6GALNAC5
hs1	77088989	77219430	PIGK
hs1	77282019	77559966	AK5
hs1	77562416	77683419	AC118549.1
hs1	77695987	77759852	USP33
hs1	77779624	77879539	MIGA1
hs1	77888513	77943895	NEXN
hs1	77944055	77979110	FUBP1
hs1	77979175	78017964	DNAJB4
hs1	77979542	78138444	GIPC2
hs1	78303884	78540701	PTGFR
